English,Portugues
rise,ascender
fixed,fixo
request,solicitar
officers,oficiais
pounds,libras
data,dados
carefully,cuidadosamente
per,por
depends,depende
jury,júri
waited,esperou
positive,positivo
attorney,advogado
direction,direção
families,famílias
clock,relógio
doin,fazendo
forces,forças
location,localização
walls,paredes
useless,inútil
grant,conceder
saving,economizando
speaks,fala
fought,disputado
meal,refeição
deliver,entregar
answers,respostas
changing,mudando
temple,têmpora
scary,apavorante
millions,milhões
offered,oferecido
regular,regular
carrying,carregando
official,oficial
jacket,jaqueta
switch,trocar
grave,cova
chase,correr atrás
role,Função
odd,chance
sexy,sexy
faces,rostos
becomes,torna-se
closes,fecha
badly,seriamente
tall,alta
confused,confuso
affair,caso
television,televisão
shock,choque
raised,criado
panting,ofegante
pizza,pizza
image,imagem
clears,limpa
golden,dourado
patients,pacientes
watched,assistido
committed,comprometido
sexual,sexual
suffer,Sofra
arthur,Arthur
wherever,onde quer que
plate,prato
appear,aparecer
chocolate,chocolate
clever,esperto
mercy,misericórdia
shots,tiros
lucy,Lucy
dealing,lidando
trap,armadilha
charges,cobranças
phil,Phil
bang,Bang
poison,veneno
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
headed,indo
babies,bebês
yellow,amarelo
soup,sopa
mystery,mistério
picking,Escolha
sat,sentado
wound,ferimento
traffic,tráfego
courage,coragem
hunt,caçar
indian,indiano
rat,rato
terms,termos
italian,italiano
emma,Emma
checking,verificando
disease,doença
managed,gerenciou
winner,vencedora
council,conselho
appointment,compromisso
monday,Segunda-feira
crack,rachadura
threat,ameaça
jenny,Jenny
physical,físico
nation,nação
source,fonte
chose,escolheu
healthy,saudável
carl,Carl
victory,vitória
rick,Rick
stood,ficou
kicked,chutado
annie,Annie
disgusting,repugnante
palace,Palácio
below,abaixo de
shopping,Shopping
neighborhood,vizinhança
march,março
lips,lábios
midnight,meia-noite
piss,xixi
advantage,vantagem
pure,puro
india,Índia
aside,"a parte, de lado"
jerk,idiota
mail,correspondência
dawn,alvorecer
effect,efeito
spell,feitiço
freak,doido
wood,madeira
screwed,parafusado
enemies,inimigos
gary,Gary
awake,desperto
chuckling,rindo
vacation,período de férias
violence,violência
grandmother,vovó
modern,moderno
luke,Lucas
firm,empresa
prime,melhor
touched,tocado
talent,talento
whore,prostituta
piano,piano
license,licença
cooking,culinária
honour,honra
concern,preocupação
moves,movimentos
available,acessível
factory,fábrica
gods,Deuses
value,valor
central,central
union,União
mirror,espelho
studio,estúdio
media,meios de comunicação
taxi,Táxi
dies,morre
iron,ferro
hearts,corações
desire,desejo
rob,roubar
claire,Claire
fred,Fred
songs,músicas
washington,Washington
monkey,macaco
pride,orgulho
pills,pílulas
miracle,milagre
swim,nadar
burned,queimado
smells,cheira
joking,brincadeira
christian,cristão
bleeding,sangramento
hook,gancho
beating,espancamento
protection,proteção
treatment,tratamento
ear,orelha
carter,Carter
metal,metal
disappear,desaparecer
